,fips,percent_cases,poverty_percent,median_household_income,always,frequently,sometimes,rarely,never
2676,08037,0.12,0.08,89268.0,0.687,0.26899999999999996,0.033,0.003,0.008
2718,08039,0.08,0.06,101733.0,0.505,0.24600000000000002,0.19,0.044000000000000004,0.016
2777,08041,0.11,0.09,72675.0,0.603,0.196,0.081,0.08900000000000001,0.031
2637,08043,0.17,0.16,52239.0,0.6629999999999999,0.2,0.062,0.069,0.006
2878,08045,0.11,0.1,73788.0,0.532,0.326,0.037000000000000005,0.04,0.065
67,08047,0.05,0.07,74806.0,0.785,0.17,0.017,0.027000000000000003,0.001
2720,08049,0.1,0.08,71029.0,0.754,0.187,0.05,0.002,0.006
2902,08051,0.09,0.12,60408.0,0.581,0.281,0.043,0.039,0.057
2439,08053,0.03,0.09,61391.0,0.519,0.271,0.11699999999999999,0.05,0.043
2653,08055,0.07,0.2,39955.0,0.595,0.275,0.051,0.051,0.027999999999999997
2659,08057,0.05,0.13,53577.0,0.52,0.342,0.09,0.027000000000000003,0.021
1887,08059,0.08,0.07,89696.0,0.6729999999999999,0.19399999999999998,0.075,0.031,0.027999999999999997
2699,08061,0.07,0.14,46901.0,0.49200000000000005,0.27,0.159,0.051,0.027999999999999997
2782,08063,0.09,0.13,42951.0,0.19,0.344,0.11900000000000001,0.32299999999999995,0.024
486,08065,0.1,0.11,56850.0,0.753,0.193,0.036000000000000004,0.016,0.002
2679,08067,0.08,0.11,77829.0,0.541,0.27399999999999997,0.122,0.02,0.043
2854,08069,0.08,0.1,75332.0,0.659,0.231,0.06,0.037000000000000005,0.013000000000000001
2972,08071,0.09,0.18,43452.0,0.648,0.17,0.10099999999999999,0.03,0.052000000000000005
2849,08073,0.22,0.17,43077.0,0.321,0.40299999999999997,0.196,0.068,0.013000000000000001
2715,08075,0.22,0.13,58429.0,0.251,0.368,0.10099999999999999,0.20199999999999999,0.078
2906,08077,0.11,0.11,60249.0,0.499,0.222,0.098,0.105,0.075
2069,08079,0.12,0.09,63015.0,0.478,0.264,0.138,0.07200000000000001,0.049
2969,08081,0.08,0.12,63232.0,0.371,0.284,0.162,0.142,0.040999999999999995
